subset_data
State,Year,County,Diabetes
VA,1/1/2014,Lexington city,0.091
VA,1/1/2015,Lexington city,0.093
VA,1/1/2014,Loudoun County,0.073
VA,1/1/2015,Loudoun County,0.075
VA,1/1/2014,Louisa County,0.112
VA,1/1/2015,Louisa County,0.108
VA,1/1/2014,Lunenburg County,0.134
VA,1/1/2015,Lunenburg County,0.134
VA,1/1/2014,Lynchburg city,0.109
VA,1/1/2015,Lynchburg city,0.116
VA,1/1/2014,Madison County,0.107
VA,1/1/2015,Madison County,0.112
VA,1/1/2014,Manassas Park city,0.083
VA,1/1/2015,Manassas Park city,0.085
VA,1/1/2014,Manassas city,0.087
VA,1/1/2015,Manassas city,0.087
VA,1/1/2014,Martinsville city,0.135
VA,1/1/2015,Martinsville city,0.137
VA,1/1/2014,Mathews County,0.13
VA,1/1/2015,Mathews County,0.133
VA,1/1/2014,Mecklenburg County,0.128
VA,1/1/2015,Mecklenburg County,0.129
VA,1/1/2014,Middlesex County,0.127
VA,1/1/2015,Middlesex County,0.126
VA,1/1/2014,Montgomery County,0.069
VA,1/1/2015,Montgomery County,0.074
VA,1/1/2014,Nelson County,0.121
VA,1/1/2015,Nelson County,0.124
VA,1/1/2014,New Kent County,0.106
VA,1/1/2015,New Kent County,0.111
VA,1/1/2014,Newport News city,0.112
VA,1/1/2015,Newport News city,0.126
VA,1/1/2014,Norfolk city,0.097
VA,1/1/2015,Norfolk city,0.102
VA,1/1/2014,Northampton County,0.151
VA,1/1/2015,Northampton County,0.163
VA,1/1/2014,Northumberland County,0.134
VA,1/1/2015,Northumberland County,0.135
VA,1/1/2014,Norton city,0.099
VA,1/1/2015,Norton city,0.1
VA,1/1/2014,Nottoway County,0.117
VA,1/1/2015,Nottoway County,0.122
VA,1/1/2014,Orange County,0.118
VA,1/1/2015,Orange County,0.117
VA,1/1/2014,Page County,0.105
VA,1/1/2015,Page County,0.114
VA,1/1/2014,Patrick County,0.122
VA,1/1/2015,Patrick County,0.123
VA,1/1/2014,Petersburg city,0.156
VA,1/1/2015,Petersburg city,0.16
VA,1/1/2014,Pittsylvania County,0.126
VA,1/1/2015,Pittsylvania County,0.133
VA,1/1/2014,Poquoson city,0.105
VA,1/1/2015,Poquoson city,0.109
VA,1/1/2014,Portsmouth city,0.138
VA,1/1/2015,Portsmouth city,0.148
VA,1/1/2014,Powhatan County,0.102
VA,1/1/2015,Powhatan County,0.106
VA,1/1/2014,Prince Edward County,0.101
